"consumer","Cumax","Cddexud","Numax","Nhsat","BdeApar","ddmort","migration_coef","max_exploitable_f"
"kelp",0.0244419813428562,1.80373310827353e-08,0.00913834344120087,18.1297110907565,NA,3.10216576630241e-08,NA,0.0414556540843429
"phyt_s",NA,NA,2.81423569757911,4.28958438662326,NA,0.0514366877518974,NA,NA
"phyt_d",NA,NA,NA,NA,NA,0.0632192896053478,NA,NA
"omnivzoo",NA,NA,2.30054541664329,3.35276113759526,NA,3.36427520177565e-05,NA,NA
"carnzoo",NA,NA,0.156783410454954,1.0895772490921,NA,0.000208981239624749,NA,0.00357090244230802
"fishplar",NA,NA,0.303918822044906,6.41752834664893,NA,4.11074920515572e-06,NA,NA
"fishdlar",NA,NA,0.232204316922695,2.05649985589373,NA,5.77374700006418e-07,NA,NA
"fishp",NA,NA,0.134523167552568,2.12595676438667,NA,1.91069326624798e-05,0.00158020900495792,0.874135056482166
"fishm",NA,NA,0.0324464176524514,2.30134650076087,NA,1.69176639871253e-06,3.5322881682462e-05,0.684549810978242
"fishd",NA,NA,0.0102155556922442,0.533332807690997,NA,3.77731238721844e-05,0.00219824388846725,0.897510229711216
"benthslar",NA,NA,0.350226562792108,1.0212984456811,NA,9.61166079719159e-06,NA,NA
"benthclar",NA,NA,1.03474660941391,2.35539113243783,NA,2.53775405450295e-07,NA,NA
"benths",NA,NA,0.901779713194229,1.74929795293717,NA,0.000367262868840719,NA,0.0303846541826694
"benthc",NA,NA,0.0287485082584088,8.936734053378,NA,0.000396993924510646,NA,0.154207915625271
"bird",NA,NA,0.793809994,1.000032668,9415.520511,0.04970643,0.00974163130213047,0.0997473478349724
"seal",NA,NA,0.416472279,1.582741102,4056.226312,0.005063334,0.00985897236968113,0.0991692401604203
"ceta",NA,NA,0.500386085,0.519813567,1281.382578,0.001302521,0.00996572939772063,0.313495548307369
