Gear_name,Gear_code,Discardrate_PF,Discardrate_DF,Discardrate_MF,Discardrate_FDB,Discardrate_CSB,Discardrate_CZ,Discardrate_BD,Discardrate_SL,Discardrate_CT,Discardrate_KP
Pelagic_Trawl+Seine,PTS,0.0144427,0,0.192691277,0,0,0,1,1,1,0
Sandeel+sprat_trawl(Otter30-70mm+TR3),SST,0.00E+00,0,1,0,0,0,1,1,1,0
Longline_mackerel,LLm,0,1.00E+00,0,0,0,0,1,1,1,0
Beam_Trawl_BT1+BT2,BTf,0,0,0,0,0,0,1,1,1,0
Demersal_Seine,DS,0,0,0,0,0,0,1,1,1,0
Demersal_Otter_Trawl_TR1,OT,1,0.199945972,0.872199155,0,2.20E-05,0,1,1,1,0
Gill_Nets+Longline_demersal,LLd,0,0.000107069,0,0,0,0,1,1,1,0
Beam_Trawl_shrimp,BTs,0,0,0,0,0,0,1,1,1,0
Nephrops_Trawl_TR2,NT,4.30E-06,0.954936706,0.018378712,0,0,0,1,1,1,0
Creels,CR,0,0,0,0,0,0,1,1,1,0
Mollusc_Dredge,MD,0,0.00206181,0,0,0,0,1,1,1,0
KelpHarvester,KH,0,0,0,0,0,0,0,0,0,0
